Unnamed: 0,id,name,unit_name,nutrient_nbr,rank,Category
0,2047,Energy,KCAL,957.0,280.0,Macronutrients
1,2048,Energy,KCAL,958.0,290.0,Macronutrients
2,1001,Solids,G,201.0,200.0,Proximates
3,1002,Nitrogen,G,202.0,500.0,Proteins
4,1003,Protein,G,203.0,600.0,Macronutrients
5,1004,lipid,G,204.0,800.0,Macronutrients
6,1005,Carbohydrate,G,205.0,1110.0,Macronutrients
7,1006,Fiber,G,206.0,999999.0,Fiber
8,1007,Ash,G,207.0,1000.0,Proximates
9,1008,Energy,KCAL,208.0,300.0,Macronutrients
10,1009,Starch,G,209.0,2200.0,Carbohydrates
11,1010,Sucrose,G,210.0,1600.0,Sugars
12,1011,Glucose,G,211.0,1700.0,Sugars
13,1012,Fructose,G,212.0,1800.0,Sugars
14,1013,Lactose,G,213.0,1900.0,Sugars
15,1014,Maltose,G,214.0,2000.0,Sugars
16,1015,Amylose,G,218.0,999999.0,Carbohydrates
17,1016,Amylopectin,G,219.0,999999.0,Carbohydrates
18,1017,Pectin,G,220.0,999999.0,Carbohydrates
19,1018,Alcohol,G,221.0,18200.0,Alcohols
20,1019,Pentosan,G,222.0,999999.0,Carbohydrates
21,1020,Pentoses,G,223.0,999999.0,Carbohydrates
22,1021,Hemicellulose,G,224.0,999999.0,Carbohydrates
23,1022,Cellulose,G,225.0,999999.0,Carbohydrates
24,1023,pH,PH,226.0,999999.0,PhysicalProperties
25,1024,Specific Gravity,SP_GR,227.0,999999.0,PhysicalProperties
26,1025,Organic acids,G,229.0,2850.0,OrganicCompounds
27,1026,Acetic acid,MG,230.0,2900.0,OrganicCompounds
28,1027,Aconitic acid,MG,231.0,3000.0,OrganicCompounds
29,1028,Benzoic acid,MG,232.0,3100.0,OrganicCompounds
30,1029,Chelidonic acid,MG,233.0,3200.0,OrganicCompounds
31,1030,Chlorogenic acid,MG,234.0,3300.0,OrganicCompounds
32,1031,Cinnamic acid,MG,235.0,3400.0,OrganicCompounds
33,1032,Citric acid,MG,236.0,3500.0,OrganicCompounds
34,1033,Fumaric acid,MG,237.0,3600.0,OrganicCompounds
35,1034,Galacturonic acid,MG,238.0,3700.0,OrganicCompounds
36,1035,Gallic acid,MG,239.0,3800.0,OrganicCompounds
37,1036,Glycolic acid,MG,240.0,3900.0,OrganicCompounds
38,1037,Isocitric acid,MG,241.0,4000.0,OrganicCompounds
39,1038,Lactic acid,MG,242.0,4100.0,OrganicCompounds
40,1039,"Malic acid""",MG,243.0,4200.0,OrganicCompounds
41,1040,Oxaloacetic acid,MG,244.0,4300.0,OrganicCompounds
42,1041,Oxalic acid,MG,245.0,4400.0,OrganicCompounds
43,1042,Phytic acid,MG,246.0,4500.0,OrganicCompounds
44,1043,Pyruvic acid,MG,247.0,4600.0,OrganicCompounds
45,1044,Quinic acid,MG,248.0,4700.0,OrganicCompounds
46,1045,Salicylic acid,MG,249.0,4800.0,OrganicCompounds
47,1046,Succinic acid,MG,250.0,4900.0,OrganicCompounds
48,1047,Tartaric acid,MG,251.0,5000.0,OrganicCompounds
49,1048,Ursolic acid,MG,252.0,5100.0,OrganicCompounds
50,1049,"Solids, non-fat",G,253.0,999999.0,Proximates
51,1050,Carbohydrate,G,205.2,1120.0,Macronutrients
52,1051,Water,G,255.0,100.0,Water
53,1052,Adjusted Nitrogen,G,256.0,999999.0,Proteins
54,1053,Adjusted Protein,G,257.0,700.0,Proteins
55,1054,Piperine,G,259.0,999999.0,OrganicCompounds
56,1055,Mannitol,G,260.0,2500.0,Carbohydrates
57,1056,Sorbitol,G,261.0,2600.0,Carbohydrates
58,1057,Caffeine,MG,262.0,18300.0,Stimulants
59,1058,Theobromine,MG,263.0,18400.0,Stimulants
60,1059,Nitrates,MG,264.0,999999.0,Preservatives
61,1060,Nitrites,MG,265.0,999999.0,Preservatives
62,1061,Nitrosamine,MG,266.0,999999.0,Preservatives
63,1062,Energy,kJ,268.0,400.0,Macronutrients
64,1063,Sugars,G,269.3,1500.0,Sugars
65,1064,"Solids, soluble",G,271.0,999999.0,Proximates
66,1065,Glycogen,G,272.0,999999.0,Carbohydrates
67,1066,"Fiber, neutral",G,273.0,999999.0,Fiber
68,1067,Reducing sugars,G,274.0,999999.0,Carbohydrates
69,1068,Beta-glucans,G,276.0,999999.0,Fiber
70,1069,Oligosaccharides,G,281.0,999999.0,Carbohydrates
71,1070,Nonstarch polysaccharides,G,282.0,999999.0,Fiber
72,1071,Resistant starch,G,283.0,999999.0,Fiber
73,1072,Carbohydrate,G,284.0,,Carbohydrates
74,1073,Arabinose,G,285.0,999999.0,Carbohydrates
75,1074,Xylose,G,286.0,999999.0,Carbohydrates
76,1075,Galactose,G,287.0,2100.0,Sugars
77,1076,Raffinose,G,288.0,2300.0,Carbohydrates
78,1077,Stachyose,G,289.0,2400.0,Carbohydrates
79,1078,Xylitol,G,290.0,2700.0,Carbohydrates
80,1079,Fiber,G,291.0,1200.0,Fiber
81,1080,Lignin,G,292.0,999999.0,Fiber
82,1081,Ribose,G,294.0,999999.0,Carbohydrates
83,1082,"Fiber, soluble",G,295.0,1240.0,Fiber
84,1083,Theophylline,MG,296.0,18500.0,Stimulants
85,1084,"Fiber, insoluble",G,297.0,1260.0,Fiber
86,1085,Fat,G,298.0,900.0,Macronutrients
87,1086,Sugar alcohols,G,299.0,999999.0,Carbohydrates
88,1087,"Calcium, Ca",MG,301.0,5300.0,Minerals
89,1088,"Chlorine, Cl",MG,302.0,999999.0,Minerals
90,1089,"Iron, Fe",MG,303.0,5400.0,Minerals
91,1090,"Magnesium, Mg",MG,304.0,5500.0,Minerals
92,1091,"Phosphorus, P",MG,305.0,5600.0,Minerals
93,1092,"Potassium, K",MG,306.0,5700.0,Minerals
94,1093,"Sodium, Na",MG,307.0,5800.0,Minerals
95,1094,"Sulfur, S",MG,308.0,6241.0,Minerals
96,1095,"Zinc, Zn",MG,309.0,5900.0,Minerals
97,1096,"Chromium, Cr",UG,310.0,999999.0,Minerals
98,1097,"Cobalt, Co",UG,311.0,6244.0,Minerals
